word,pos,definition
task force,,
tasteless,adjective,"The definition of tasteless is something that is lacking in favor, or something that is lacking in good taste, or that is inappropriate according to social norms."
tattooist,,
tautological,,
taxi,noun,car with a driver which may be hired
,verb,(of an aircraft) move along the ground before or after flying
,noun,place where taxis wait to be hired
taxicab,,
taxonomic,,
taxonomist,,
taxpayer,,
tea,noun,"The definition of tea is an evergreen plant grown in some Asian countries, India and in the Eastern United States, or dried leaves or herbs made into a beverage by brewing in boiled water."
teacher,noun,The definition of a teacher is someone who helps others learn new things.
teaching,noun,"The definition of teaching is what a teacher does, or something that's learned."
teacup,,
teak,noun,strong hard wood of a tall Asian tree
team-mate,,
teapot,,
teaspoon,,
tech,,
technicality,,
technically,,
technocracy,,
technocrat,noun,"expert in science, engineering, etc who has a lot of power in politics and/or industry"
technological,,
technologist,,
tectonics,,
teddy,,
teenage,adjective,"The definition of teenage is defined as a person in their teen years, or something related to those years."
teeth,noun,"Teeth are the hard, small, white enamel-covered structures set into a jaw."
telecommunications,noun,"technology of sending signals, images and messages over long distances by radio, television, satellite, etc"
telescopic,,
telex,noun,system of sending typed messages round the world by telephone lines
,noun,message sent by telex
,verb,send a message by telex
teller,,
telling,,
template,noun,The definition of a template is a pattern used for forming something exactly.
temporarily,,
temporize,,
tempted,,
ten,number,10
tenancy,,
tennis,noun,game for two or four players who hit a ball across a net with a racket
,noun,marked area on which tennis is played
tensile,,
tenth,,
ter,,
termination,,
terminus,noun,last station or stop at the end of a railway line or bus route
termite,noun,insect that eats wood
terra,,
terribly,,
terrify,verb,make sb feel very frightened
terrorist,,
terrorize,,
terry,,
test_copy.txt专有的的词汇有2911个：,,
test.txt专有的的词汇有2486个：,,
testator,,
testy,,
textual,,
than,conjunction,Than is defined as a way to introduce the second part of a comparison or to show a difference.
,preposition,Than means in comparison.
thanksgiving,noun,"Thanksgiving is the act of giving thanks, or a holiday in November to give thanks."
that,adjective,"The definition of that is being the thing, person, or place indicated."
,adverb,That means to an extent.
,conjunction,That is defined as a way to introduce a noun clause.
,pronoun,That is defined as something indicated.
thatch,noun,"roof covering of dried straw, reeds, etc"
,verb,"cover a roof, etc with a thatch"
the,article,"The is defined as an article and is used before a noun to specify, or put emphasis on, that noun."
theatre,noun,building in which plays are performed
,noun,"work of acting in, producing, etc plays"
,noun,hall or room for lectures
,noun,person who frequently sees plays at the theatre
theatrical,,
theatricality,,
their,adjective,The definition of their is a person or thing that belongs to or was made by them.
theirs,,
them,pronoun,Them is defined as they.
themselves,pronoun,Themselves is defined as a group of people or things.
thence,adverb,from that place
thenceforth,,
theologian,,
theoretically,,
theoretician,,
theorist,,
theorize,,
therapist,,
there,adverb,There is defined as in or at that place.
thereto,,
thereupon,adverb,immediately; because of that
therewith,,
thermocouple,,
thermonuclear,,
thermos,,
thermostat,noun,"device that automatically keeps a building, engine, etc at an even temperature"
these,pronoun,These is defined as more than one of this.
they,pronoun,"They is a general reference to people, or to people who were previously mentioned."
thicken,,
thing,noun,"The definition of a thing is an object, an act, or a step."
thinker,,
third,noun,3rd; the fraction ; each of three equal parts of sth
,noun,question sb for a long time; use threats or violence to get information from sb
,noun,person other than the two main people involved
,noun,insurance that covers you if you injure sb or damage their property
,noun,set of pronouns and verb forms used by a speaker to refer to other people or things
,adjective,of very poor quality
,noun,"way of referring to the developing countries of the world in Africa, Asia and Latin America"
third world,,
thirst,noun,feeling of needing or wanting a drink
,noun,strong desire for sth
,verb,be very eager for sth
thirteen,number,13
thirteenth,,
thirtieth,,
thirty,number,30
,noun,"numbers, years or temperatures from 30 to 39"
this,adverb,This means so.
,pronoun,This is used to reference a person or a thing.
thistle,noun,wild plant with prickly leaves and esp purple flowers
thorn,noun,"sharp pointed part on the stem of some plants, eg roses"
,noun,tree or bush that has thorns
,noun,person or thing that constantly annoys sb
thorny,,
thoroughbred,adjective,"(animal, esp a horse) of pure breed"
thoughtless,,
thousand,number,1000
,number,large number
thrall,,
three-quarters,,
thresh,verb,"separate grains of corn, etc from the rest of the plant, using a machine or by beating it"
threw,verb,Threw is defined as to have sent something flying through the air.
thriller,,
throes,noun,in the middle of a difficult activity
throwback,,
thrown,,
thrush,noun,bird with a brown back and brown spots on its chest
thud,noun,dull sound of a heavy object hitting sth softer
,verb,strike or fall with a thud
thumbtack,,
thunderclap,,
thundercloud,,
thunderous,,
thurs,,
Thursday,noun,"the fifth day of the week, next after Wednesday (See examples of use at"
thusly,,
tiara,noun,"piece of jewellery like a small crown, worn by a woman"
Tibet,,
Tibetan,,
tic,noun,"sudden unconscious moving of the muscles, esp in the face"
tid,,
tidal,adjective,of or caused by tides
,noun,very large ocean wave
tideland,,
tightly,,
tightwad,noun,The definition of a tightwad is slang for a cheapskate or a miser.
tigress,,
tile,noun,"thin usu square piece of baked clay or other material for covering roofs, walls and floors"
,noun,stay out late enjoying yourself
,verb,cover a surface with tiles
,verb,arrange several windows on a computer screen
time,noun,"Time is defined as the duration in which all things happen, or a precise instant that something happens."
timekeeping,,
times,,
timetable,,
timing,,
tinder,,
tingle,verb,(of a part of your body) feel as if a lot of small sharp points are pushing into it
,verb,feel an emotion strongly
,noun,tingling feeling
tinkle,verb,make a series of light high ringing sounds
,noun,tinkling sound
tint,noun,(esp pale) shade of colour
,verb,add a small amount of colour to sth
tipper,,
tipple,noun,alcoholic drink
tired,adjective,"The definition of tired is being bored with something, or something that has become stale or being fatigued and in need of rest."
tireless,adjective,"The definition of tireless is energized and enthusiastic, showing great energy or not easily fatigued."
tiring,,
tithe,noun,"The definition of a tithe is a tax, a small collection, or a tenth of your income given to a church."
,noun,
,verb,To tithe means to pay an offering or a tax.
titillate,verb,"excite sb, esp sexually"
titled,,
to,adverb,"The definition of to is moving toward the wanted position, or coming into awareness."
,preposition,"To is defined as the direction to go, towards, or to a specific position, result or degree."
toad,noun,animal like a frog
tobacconist,,
today,noun,(on) this day
,noun,(at) this present time
toddle,verb,(esp of a young child) walk with short unsteady steps
toed,,
toenail,,
toffee,noun,"(piece of) hard sticky sweet made by heating sugar, butter, etc"
toga,,
together,adjective,The definition of together is in the same place or a person who is stable or in touch with reality.
,adverb,"Together is defined as in or into one unit, or at the same time."
toilet,adjective,Toilet means something related to grooming or getting dressed.
,noun,"The definition of a toilet is a seat with a hole or hole in the ground where a person urinates or has a bowel movement, or a room where this seat or hole in the ground is located."
Tokyo,,
toleration,,
tom,,
tonal,,
toneless,,
tongs,noun,"tool with two long parts joined at one end, used for picking up and holding things"
tonight,noun,(during the) evening or night of today
tonnage,noun,amount of cargo a ship can carry
tonne,noun,metric unit of weight; 1000 kilograms
tonsure,,
too,adverb,Too is defined as also or in addition. It can also refer to something done to an excessive degree.
toothache,,
toothbrush,,
toothpaste,,
topmost,adjective,The definition of topmost is the highest position or the highest status.
topographical,,
topsoil,,
torpedo,noun,long narrow bomb that travels underwater and is used for destroying ships
,verb,attack and destroy sth (as if) with a torpedo
torsion,,
tortoise,noun,slow-moving animal with a hard shell
,noun,"hard yellow and brown shell of some turtles, used for making ornaments"
totalitarianism,,
totality,,
totally,,
totter,verb,walk or move unsteadily
,verb,be weak and seem likely to fall
touchdown,,
touching,,
touchstone,,
touchy,adjective,easily offended
toughen,,
tournament,noun,series of games or contests
towards,preposition,in the direction of sb/sth
,preposition,getting closer to achieving sth
,preposition,close(r) to a point in time
,preposition,in relation to sb/sth
,preposition,with the aim of obtaining sth
towering,,
town,adjective,Town means relating to a residential area that is smaller than a city and larger than a village.
,noun,The definition of a town is a residential area that is smaller than a city and larger than a village.
townscape,noun,The definition of a townscape is a town or city as shown in a picture or painting.
townsfolk,,
township,,
townsman,,
toxicity,,
toxin,,
traceable,,
trade union,,
trade-in,,
trader,,
tradesman,,
traditionalist,,
trafficker,,
trafficking,verb,Trafficking is defined as engaged in the action of trading something illegally or being engaged in illegal commerce.
tragedian,,
tragically,,
trailblazer,,
train,noun,Train is defined as a line of railroad cars attached and pulled or pushed by a locomotive.
,noun,The definition of a train is something that hangs down and trails behind.
,verb,"Train means to guide, coach or instruct."
tram,noun,passenger vehicle powered by electricity that runs on rails set in the road
tranquillity,,
transact,verb,do business with a person or an organization
transcendence,,
transcontinental,adjective,crossing a continent
transferable,,
transference,,
transfigure,,
transfuse,,
transgressor,,
transmitter,,
transmutation,,
transmute,,
transplant,verb,"take an organ, skin, etc from one person, animal, part of the body, etc and put it into or onto another"
,verb,move a growing plant and plant it somewhere else
,verb,move sb/sth to a different place or environment
,noun,"medical operation in which a damaged organ, etc is replaced with another"
,noun,"organ, etc that is used in a transplant operation"
transplantation,,
transporter,,
transposition,,
trapeze,noun,"bar hung from two ropes, used by acrobats for swinging on"
trapped,,
trapper,,
trappings,,
travel,noun,Travel is defined as the act of going on a trip or going on vacation.
,verb,Travel means to go to a different location or to take a trip.
traveller,,
trawler,,
treadmill,,
treasurer,,
treble,det,three times as much or as many
,noun,high tones or part in music or a sound system
,noun,(boy who sings with a) child's high voice
,verb,become or make sth three times as much or as many
,adjective,high in tone
tree,noun,The definition of a tree is any object that resembles the woody plants with trunks.
,noun,"A tree is defined as a woody plant that usually grows tall, has one main stem or trunk and typically lives for a long time."
triangular,,
tribune,,
trickery,,
trident,noun,"The definition of a trident is a three-pointed spear for catching fish or commonly held by the god of water and the sea (Neptune in Roman mythology, Poseidon in Greek mythology)."
trill,noun,"repeated short high sound made, eg by sb's voice or a bird"
,noun,quick repeated playing of two different notes
,verb,sound or sing sth with a trill
triphosphate,,
tripper,,
tritium,,
triviality,,
trivialize,,
trochanter,,
trolley,noun,small vehicle with wheels that is pushed by hand and used for carrying things
,noun,small table on wheels for serving food
trombone,noun,brass musical instrument with a sliding tube
troop,noun,"soldiers, esp in a large group"
,noun,group of people or animals
,verb,walk somewhere together as a group
,noun,soldier of low rank in the part of an army that uses tanks or horses
trophy,noun,prize given for winning a competition
,noun,something kept as a reminder of a victory or success
tropospheric,,
troth,,
troubled,,
troublemaker,,
troubleshooter,,
trousers,noun,"Trousers are pants, or a piece of clothing that covers the legs."
trout,noun,common freshwater fish that is used for food
truculence,,
trumpet,noun,brass musical instrument with a long curved tube that you blow into
,verb,declare sth loudly
,verb,(of an elephant) make a loud noise
,noun,trumpet player
trumpeter,,
trundle,verb,(cause sth to) roll or move somewhere slowly and noisily
truthful,,
tryout,,
tub,noun,"open container, used for washing clothes in, etc"
,noun,"small plastic or paper container with a lid, used for food, etc"
tuba,noun,brass musical instrument that you play by blowing and that produces low notes
tubular,,
tubule,,
tues.,,
Tuesday,noun,"the third day of the week, next after Monday (See examples of use at"
tuft,noun,"bunch of hair, grass, etc"
tulip,noun,"large brightly coloured spring flower, shaped like a cup, on a tall stem"
tumid,,
tummy,noun,stomach
tumor,,
tumour,noun,mass of diseased cells growing in the body
tuna,noun,large sea fish eaten as food
tunnel,noun,"underground passage, eg for a road or railway"
,verb,dig a tunnel under or through the ground
turbot,,
tureen,noun,large deep dish from which soup or vegetables are served
turkey,noun,"large bird, used for food"
,noun,meat from a turkey
turncoat,,
turning,noun,road that leads off another
,noun,time at which an important change happens
turnip,noun,"round white, or white and purple, root vegetable"
turnout,,
turnpike,noun,road which drivers have to pay to use
turquoise,adjective,greenish-blue in colour
,noun,type of greenish-blue precious stone
turtleneck,,
tussle,noun,(have a) rough fight or argument
tutelary,,
tutorial,,
tv,,
tweed,noun,thick woven woollen fabric that has small spots of different coloured thread in it
,noun,clothes made of tweed
twelve,number,12
twentieth,,
twenty,number,20
,noun,"numbers, years or temperatures from 20 to 29"
twice,adverb,two times
twin,noun,either of two children born to the same mother at one time
,adjective,"similar, one of a matching pair"
twine,noun,strong string
,verb,(cause sth to) twist or wind around sth
twinkle,verb,shine with an unsteady light
,verb,(of sb's eyes) look bright with happiness or amusement
,noun,
two,adjective,The definition of two is totaling one plus one.
,noun,Two is defined as the number equal to the sum of one plus one.
two-thirds,,
type,noun,"The definition of a type means people, places or things that share traits which allow them to belong to the same group."
,verb,Type is defined as to produce words on a typewriter or computer.
typically,,
typify,verb,be a typical feature or example of sth
typist,,
typographical,,
tyrannize,verb,use your power to treat sb cruelly and unfairly
tyre,noun,"thick rubber ring that fits around the edge of a wheel of a bicycle, car, etc"
U.K.,,
U.N.,,
U.S.A.,,
UFO,noun,"Unidentified Flying Object, esp a spacecraft believed to have come from another planet"
ugliness,,
ugly,adjective,"The definition of ugly is someone or something that is visually unpleasing, or something that is threatening."
uh huh,,
UK,abbreviation,the United Kingdom
ultra,,
ultraclean,,
umpire,noun,"(in tennis, baseball, etc) person who sees that rules are obeyed"
,verb,act as an umpire in a game
unabated,,
unacceptable,,
unaccountable,adjective,that cannot be explained
unadorned,,
unaffected,,
unalterable,,
unanimity,,
unapproachable,,
unashamed,,
unassailable,,
unavailing,,
unawares,,
unbeaten,adjective,"The definition of unbeaten is something that hasn't been hit, defeated or walked upon."
unbecoming,,
unbelievable,adjective,that cannot be believed; astonishing
unbendable,,
unbroken,adjective,not interrupted or disturbed
uncalled-for,,
uncensored,,
unceremonious,adjective,done roughly and rudely
unchanged,,
uncharitable,adjective,unkind or unfair
uncle,noun,brother of your father or mother; husband of your aunt
unclear,,
uncommon,adjective,not existing in large numbers or in many places
uncompromising,adjective,"unwilling to change your opinions, decisions, etc"
unconcerned,adjective,not interested or worried
unconquerable,,
uncontrollable,,
uncontroversial,,
unconvincing,,
uncooperative,,
uncover,verb,remove sth that is covering sth
,verb,discover sth secret or hidden
uncritical,,
unction,,
undeniable,adjective,true or certain; that cannot be denied
under,preposition,"Under is defined as below, less than or covered."
underachieve,,
underbrush,,
undercharge,verb,"charge too little for sth, usu by accident"
underclass,,
undercount,,
undercover,adverb,"working or done secretly, esp as a spy"
undercut,verb,sell goods or services at a lower price than your competitors
underdone,adjective,(esp of meat) not completely cooked
underestimate,verb,"think or guess that the amount, cost or size of sth is smaller than it really is"
,verb,"not realize how good, strong, determined, etc sb really is"
undergird,,
underground,adjective,under the surface of the ground
,adjective,"operating secretly and often illegally, esp against a government"
,noun,underground railway system in a city
,noun,secret political organization
,adverb,under the surface of the ground
,adverb,"in or into a secret place in order to hide from the police, etc"
undergrowth,noun,bushes and plants growing thickly under trees
underhand,adjective,done secretly and dishonestly
underline,verb,"draw a line under a word, sentence, etc"
,verb,emphasize that sth is important
underpass,noun,"road or path that goes under a railway, another road, etc"
underplay,,
underprivileged,adjective,"not having the standard of living, rights, etc enjoyed by others in society"
undersea,,
undersell,,
underside,noun,side or surface that is underneath
undersized,,
understandable,,
understate,verb,"state that sth is smaller, less important or less serious than it really is"
undertaking,noun,The definition of an undertaking is a task or an agreement to do something.
undertook,,
undervalue,verb,"not recognize how good, valuable or important sb/sth really is"
underwear,noun,clothing worn next to the skin and under other clothes
underworld,noun,people and activities involved in crime in a particular place
,noun,(in mythology) home of the dead
underwrite,verb,accept financial responsibility for sth so that you will pay money in case of loss or damage
undeserved,,
undesirable,adjective,not wanted or approved of; likely to cause trouble
,noun,person who is not wanted in a particular place
undetected,,
undifferentiated,,
undignified,,
undisguised,,
undivided,,
undoubted,adjective,certain; accepted as true
undoubtedly,,
undreamed,,
unearth,verb,find sth in the ground by digging
,verb,discover sth by chance or after searching for it
unearthly,adjective,unnatural and therefore frightening
,adjective,"very early, esp when this is annoying"
uneatable,,
uneconomic,adjective,not producing profit
uneducated,,
unemployed,adjective,not having a job
unequal,adjective,in which people are treated differently or have different advantages in a way that seems unfair
,adjective,"different in size, amount, etc"
,adjective,not capable of doing sth
unescorted,,
uneven,adjective,not level or smooth
,adjective,varying in quality
unexceptionable,,
unexceptional,,
unfailing,adjective,that you can rely on to always be there and always be the same
unfairly,,
unfaithful,adjective,"having sex with sb who is not your husband, wife or usual partner"
unfaltering,,
unfathomable,,
unfavorable,,
unfertilized,,
unfettered,,
unfit,adjective,not of an acceptable standard; not suitable
,adjective,"not capable of doing sth, eg because of illness"
,adjective,(of a person) not in good physical condition because you have not taken exercise
unfledged,,
unfocused,,
unforeseeable,,
unforeseen,adjective,unexpected
unfounded,adjective,not based on facts
unfrock,,
ungodly,adjective,not showing respect for God; wicked
,adjective,very early or very late and therefore annoying
ungracious,,
ungrateful,adverb,not expressing thanks for sth that sb has done for you
unguent,,
unhealthy,adjective,not having or showing good health
,adjective,harmful to your health
unheard,,
unheeded,,
unicellular,,
unicorn,noun,(in stories) white horse with a long straight horn on its forehead
unidentified,adjective,not recognized or known; not identified
unidimensional,,
unification,,
unimaginative,,
unimpeachable,,
unimportant,,
uninformative,,
uninformed,,
uninitiate,,
uninitiated,,
uninspiring,,
unintentional,,
uninviting,,
unionism,,
unionize,,
unisex,adjective,designed to be used by both men and women
universality,,
universally,,
unjustifiable,,
unlawful,,
unlike,adjective,The definition of unlike is a person or thing that is different from another.
,verb,The definition of unlike is to withdraw your previously-posted expression of liking someone or something on a social media website.
unlimited,,
unlisted,,
unload,verb,remove things from a vehicle or ship; empty the contents of sth
,verb,pass the responsibility for sb/sth to sb else
unlock,verb,"open a door, etc using a key"
unmarried,,
unmatched,,
unmistakable,adjective,that cannot be mistaken for sb/sth else
unmoved,adjective,not feeling any pity or sympathy
unnatural,adjective,not natural or normal
,adjective,not expected or acceptable
unobtrusive,adjective,not attracting unnecessary attention
unoccupied,,
unofficial,adjective,without the approval or permission of sb in authority
unoriginal,,
unorthodox,,
unpack,,
unpalatable,adjective,"(of facts, ideas, etc) unpleasant and not easy to accept"
,adjective,not pleasant to taste
unplug,,
unpopular,,
unpredictable,adjective,that cannot be predicted
unprejudiced,,
unprepossessing,,
unpretentious,,
unprincipled,,
unpromising,,
unproven,,
unquestionable,adjective,that cannot be doubted; certain
unquestionably,,
unquestioning,,
unrealistic,,
unreasonable,adjective,not reasonable or fair
unreliable,adjective,that cannot be trusted or depended on
unremarkable,,
unrequited,,
unresponsive,,
unrest,noun,political situation in which people are angry and likely to fight or protest
unrestrained,,
unsafe,,
unsatisfactory,,
unscientific,,
unscrew,,
unseat,verb,remove sb from a position of power
,verb,"cause sb to fall off a horse, etc"
unseemly,adjective,"(of behaviour, etc) not polite or suitable"
unsettle,verb,"make sb feel upset or worried, esp because a situation has changed"
unshakable,,
unsightly,adjective,not pleasant to look at
unskilled,,
unsociable,,
unsolved,,
unsophisticated,,
unspecified,,
unspoken,,
unstudied,,
unsuccessful,,
unsullied,,
unsure,,
unsuspecting,,
unswerving,adjective,strong and not changing
unsympathetic,,
untainted,,
untangle,,
untapped,,
unthinkable,adjective,impossible to imagine or accept
untidy,adjective,not neat or ordered
untie,verb,undo a knot in sth; undo sth that is tied
untimely,,
untold,adjective,too great to be measured
untouchable,,
untouched,,
untrue,,
untrustworthy,,
untruth,,
untutored,,
unusable,,
unusually,,
unutterable,,
unwanted,,
unwarranted,adjective,not deserved or justified
unwilling,,
unwise,,
unwitting,adjective,not aware of what you are doing or the situation you are involved in
unwonted,,
unworldly,,
unworthy,,
unwrap,verb,"take off the paper, etc that covers or protects sth"
unyielding,,
up to date,adjective,modern; fashionable
,adjective,having all the most recent information
uphill,adverb,towards the top of a hill or slope
,adjective,sloping upwards
,adjective,difficult to win; requiring a lot of effort
upkeep,noun,cost or process of keeping sth in good condition
upland,noun,area of high land situated away from the coast
upload,verb,move data to a larger computer system from a smaller one
,noun,act or process of uploading
upper,adjective,at or near the top of sth; situated above sth else
,adjective,get an advantage over sb so that you are in control
,noun,top part of a shoe attached to the sole
,noun,social group considered to have the highest social status and more money and/or power than others
,adjective,higher or nearer the top than other things
,adjective,more important than other things
,adverb,in the highest position; facing upward
uppermost,,
uproarious,,
uproot,verb,"pull a tree, etc out of the ground"
,verb,(cause sb to) leave a place where you/they have lived for a long time
upscale,,
upshot,noun,final result of a series of events
upside,,
upstairs,adjective,to or on a higher floor
upstart,noun,person who has just started a new job but who behaves as if they are more important than other people
upsurge,,
uptake,noun,be quick/slow to understand sth
uptown,,
upward,adjective,pointing towards or facing a higher place
upwards,,
uranium,noun,radioactive metal used in producing nuclear energy
urbanity,,
urbanization,,
urbanize,,
urinate,,
ursine,,
USA,abbreviation,United States of America
usable,,
use,noun,Use is the acting of employing or utilizing something or the intended purpose of something.
,verb,Use is defined as to handle or consume something.
usefulness,,
usually,,
usurer,,
utilise,,
utilization,,
utterly,,
uxorious,,
vaccinate,verb,protect sb against a disease by injecting them with a vaccine
vaccination,,
vaguely,,
vainglorious,,
valedictory,,
validation,,
valour,noun,"great courage, esp in war"
vampire,noun,(in stories) dead person who sucks the blood of living people
vanilla,noun,"flavouring that comes from a plant and is used in sweet foods, eg ice cream"
vaporize,verb,(cause sth to) turn into gas
vapour,noun,"mass of very small drops of liquid in the air, eg steam"
variability,,
varicose,,
varied,adjective,"The definition of varied is changed, or of different types, kinds and colors."
variously,,
vase,noun,"container made of glass, etc, used esp for holding cut flowers"
vassal,noun,"The definition of a vassal was someone in feudal times who received protection and land from a lord in return for allegiance and performing military and other duties, or someone who is subordinate."
vatican,,
VCD,,
veal,noun,meat from a calf (= a young cow)
vegetate,verb,(of a person) spend time doing very little and feeling bored
veiled,,
velvet,noun,"cloth made of cotton, silk, etc with a thick soft surface on one side"
venereal,,
vengeful,adjective,showing a desire for revenge
venial,,
venison,noun,meat from a deer
venom,noun,"poison of certain snakes, spiders, etc"
,noun,strong bitterness or hate
ventilate,verb,"allow fresh air to enter and move around a room, building, etc"
ventilator,,
ventricular,,
ventriloquist,noun,person who can make their voice appear to come from another person
venturesome,,
Venus,noun,"Venus is defined as the Roman goddess of beauty and love, or the second planet from the sun.Facts About the Planet VenusVenus was named after the Roman goddess of love and beauty.It is visible a few hours before sunrise and a few hours after sunset and cannot be seen in the middle of the night.Its orbit around the Sun takes about 225 days.The planet rotates from east to west, which is the opposite way of most planets. Therefore, the sun rises in the west and sets in the east.Its rotation is slow compared to other planets, with a day lasting the equivalent of 243 Earth days.Venus has no moons.Venus is made mostly of silicate rock.With a surface pressure ninety times higher than Earth’s, life could not survive there.Venus has a thick atmosphere mostly of carbon dioxide.It is covered by clouds of sulfuric acid which move around the planet quickly because of strong winds in the upper atmosphere. The clouds block light and create a greenhouse effect, so Venus’s temperature can reach 900 degrees Fahrenheit.There is and has been volcanic activity. There are high mountains, most likely caused by this volcanic activity, and extremely large rift valleys.Venus has no moons and no one really knows why.Venus has been explored with a fly-by of Mariner 2 in 1962, two Soviet probes and a landing in 1970, photographs by Mariner 10 and t0 spacecrafts from 1975; through 1984, and the U.S. space probe mapping the surface using radar in 1990.Today the details of objects as small as 330 feet across can now been seen on Venus from the images sent back to Earth."
verbalize,,
verdigris,,
verifiable,,
verification,,
vernal,,
versa,,
versed,adjective,knowledgeable about or skilled in sth
vest,noun,"piece of underwear worn under a shirt, etc next to the skin"
,noun,special piece of clothing that covers the upper body
,verb,"(of power, property, etc) belong to sb/sth legally"
,verb,give sb the legal right or power to do sth
,verb,make sb the legal owner of land or property
,noun,"personal reason for wanting sth to happen, esp because you benefit from it"
vested,adjective,The definition of vested is a legal right or position has been secured or put into force.
veterinary,adjective,connected with caring for the health of animals
viand,noun,"Viand is defined as a piece of food, or a tasty dish."
vibrance,,
vicarage,,
victimize,,
victimless,,
victor,noun,winner
victorian,,
victorious,,
victuals,,
videocassette,,
videophone,,
videotape,,
viewer,,
viewfinder,,
vigour,noun,"energy, force or enthusiasm"
villa,noun,"house for holiday makers, eg in the countryside"
villager,,
villainous,,
vinegar,noun,"bitter liquid made from malt, wine, etc, used to add flavour to food or to preserve it"
vineyard,,
vintner,,
vinyl,noun,"Vinyl is a plastic made from a chemical, or slang for a record."
viola,noun,stringed musical instrument slightly larger than a violin
violin,noun,stringed musical instrument held under the chin and played with a bow
violinist,,
viper,noun,poisonous snake
virginal,,
virginity,,
virtuosity,,
viscid,,
viscount,noun,(in Britain) nobleman of a rank below an earl and above a baron
vise,noun,"The definition of a vise, an alternative spelling for vice, is a tool to grip something firmly as it is worked on."
,verb,Vise is to grip or squeeze something tightly.
visitation,,
visualise,,
vitalism,,
vitalize,,
vitreous,,
vituperative,,
vivisection,noun,experiments on living animals for scientific research
vocalist,,
vocalization,,
vocalize,,
vocally,,
vocals,,
vocative,,
vodka,noun,strong Russian alcoholic drink
volatility,,
volcanic,,
volleyball,,
volt,noun,unit for measuring the force of an electric current
voluntarily,,
voter,,
vs,,
vulgarity,,
vulpine,,
wafer,noun,"thin crisp light biscuit, eaten with ice cream"
,noun,very thin round piece of special bread given by a priest during Communion
waggish,,
waggon,,
wagon,noun,railway truck for carrying goods
,noun,"vehicle with four wheels, pulled by horses and used for carrying heavy loads"
waif,noun,"The definition of a waif is a homeless, abandoned animal or person."
waistcoat,,
waiting,adjective,The definition of waiting is someone or something that remains or stays.
,noun,Waiting is defined as the process of remaining or staying.
waken,verb,(cause sb to) wake from sleep
Walkman,,
walkout,,
walkway,,
wall,noun,The definition of a wall is something that divides or supports.
wallet,noun,"small flat case, esp for carrying paper money and credit cards"
wallpaper,,
walnut,noun,(tree producing a) large nut with a hard round shell in two halves
,noun,"brown wood of the walnut tree, used for making furniture"
walrus,noun,large sea animal with thick fur and two long outer teeth
waltz,noun,(music for a) graceful ballroom dance
,verb,dance a waltz
,verb,walk or go somewhere in a very confident way
wand,noun,long thin stick used by a magician
wangle,verb,get sth that you want by persuading sb or by a clever plan
warble,verb,(esp of a bird) sing with rapidly changing notes
warbler,,
warhead,,
warlike,,
warlord,,
warm,adjective,"The definition of warm is having a moderate amount of heat, or someone who is friendly and sincere."
,verb,To warm is defined as to raise the temperature a bit.
warring,,
warship,,
wartime,,
was,verb,Was is a past form of the word be.
washing,noun,act of washing sth
,noun,"clothes, sheets, etc that are waiting to be washed or that have been washed"
,noun,electric machine for washing clothes
,noun,soap in the form of powder for washing clothes
washroom,,
wastage,noun,"fact of losing or destroying sth, esp because it has been used carelessly"
,noun,amount of sth that is wasted
,noun,reduction in numbers of employees or students
wasteful,,
wastrel,,
watchful,,
water,noun,Water is a liquid found on Earth which is known as H20 that has no odor or taste.Facts About WaterSeventy percent of the earth is made up of water.Ninety-seven percent of the earth’s water is in oceans and seas while two percent is found on the icecaps.Huge bodies of water can absorb and store large amounts of heat coming from the sun especially during daytime and the summer season.Seventy-five percent of the human body is made up of water and 90 percent of human blood is water.
,verb,Water is defined as to wet something with H20.
watercolor,,
watermark,,
watertight,,
watery,adjective,containing too much water
,adjective,(of colours) pale; weak
wavy,,
waxy,,
way,noun,"Way is a space for passing or going from one place to another, or a manner of doing something."
way of life,,
waylay,verb,"stop sb from going somewhere, esp in order to talk to them or attack them"
wayside,adjective,The definition of wayside is by the side of the road.
,noun,Wayside is defined as on or near the edge of the road.
we,pronoun,"We is used to show a collective group of people, generally including the speaker or writer."
weaken,,
weakly,,
weaponry,,
wearisome,,
weatherman,,
weaver,,
webcast,,
wed,verb,marry
wed.,,
Wednesday,noun,"the fourth day of the week, next after Tuesday (See examples of use at"
weekly,,
weighty,,
well,adjective,The definition of well is in good condition.
,adverb,Well means in a good manner or carefully or thoroughly.
,interjection,Well is defined as a way to express surprise or scolding.
,noun,Well is a wish of good fortune.
well-off,,
well-to-do,adjective,The definition of well to do is someone who is wealthy or who is prosperous.
Welsh,adjective,"The definition of Welsh is something related to Wales, a principality of Great Britain that is located west of central England."
,verb,To welsh is defined as to go back on your word or fail to honor a promise.
welt,,
were,verb,Were is the past tense of be.
west,noun,direction that you look towards to see the sun set; one of the four points of the compass
,noun,"Europe and N America, contrasted with eastern countries"
,noun,western side of the US
,adjective,in or towards the west
,adjective,(of winds) blowing from the west
,adverb,towards the west
,adjective,travelling towards the west
,adjective,in or towards the west
,adjective,(of winds) blowing from the west
,adjective,towards the west
western,adjective,of the west part of the world or a particular country
,noun,"film or book about life in the western US in the 19th century, usu involving cowboys"
,noun,"person who comes from or lives in the western part of the world, esp western Europe or N America"
,verb,bring ideas or ways of life that are typical of western Europe and N America to other countries
westerner,,
